name,type,start_time,duration,"mosi","miso"
"SPI","result",0.039817718,7.502e-06,0x00,0x00
"SPI","disable",0.039827256,2e-09,,
"SPI","enable",0.039877728,2e-09,,
"SPI","result",0.039878828,7.5e-06,0x00,0x0B
"SPI","result",0.039886828,7.5e-06,0x00,0x7F
"SPI","disable",0.039896364,2e-09,,
"SPI","enable",0.040076906,2e-09,,
"SPI","result",0.04008582,7.5e-06,0x00,0x00
"SPI","result",0.040093818,7.502e-06,0x00,0x00
"SPI","disable",0.040103356,2e-09,,
"SPI","enable",0.040153628,2e-09,,
"SPI","result",0.040154742,7.5e-06,0x00,0x0B
"SPI","result",0.04016274,7.502e-06,0x00,0x7F
"SPI","disable",0.040172278,2e-09,,
"SPI","enable",0.040348794,2e-09,,
"SPI","result",0.040357708,7.5e-06,0x00,0x00
"SPI","result",0.040365706,7.502e-06,0x00,0x00
"SPI","disable",0.040375244,2e-09,,
"SPI","enable",0.040425716,1.99999999e-09,,
"SPI","result",0.040426816,7.502e-06,0x00,0x4B
"SPI","result",0.040434816,7.5e-06,0x00,0x7F
"SPI","disable",0.040444352,2e-09,,
"SPI","enable",0.040624894,1.99999999e-09,,
"SPI","result",0.040633808,7.5e-06,0x00,0x80
"SPI","result",0.040641806,7.502e-06,0x00,0x00
"SPI","disable",0.040651344,1.99999999e-09,,
"SPI","enable",0.040701366,2e-09,,
"SPI","result",0.040702466,7.502e-06,0x00,0x0B
"SPI","result",0.040710466,7.5e-06,0x00,0x80
"SPI","disable",0.040720002,1.99999999e-09,,
"SPI","enable",0.040896594,2e-09,,
"SPI","result",0.040905508,7.5e-06,0x00,0x00
"SPI","result",0.040913506,7.502e-06,0x00,0x00
"SPI","disable",0.040923044,2e-09,,
"SPI","enable",0.040973428,2e-09,,
"SPI","result",0.04097453,7.5e-06,0x00,0x4B
"SPI","result",0.04098253,7.5e-06,0x00,0x7E
"SPI","disable",0.040992066,1.99999999e-09,,
"SPI","enable",0.041188968,1.99999999e-09,,
"SPI","result",0.041197882,7.5e-06,0x00,0x00
"SPI","result",0.041205882,7.5e-06,0x00,0x00
"SPI","disable",0.041215418,2e-09,,
"SPI","enable",0.04126634,1.99999999e-09,,
"SPI","result",0.041267442,7.5e-06,0x00,0x0B
"SPI","result",0.041275442,7.5e-06,0x00,0x7F
"SPI","disable",0.041284978,1.99999999e-09,,
"SPI","enable",0.041461882,2e-09,,
"SPI","result",0.041470796,7.5e-06,0x00,0x00
"SPI","result",0.041478794,7.502e-06,0x00,0x00
"SPI","disable",0.04148833,2e-09,,
"SPI","enable",0.041538628,1.99999999e-09,,
"SPI","result",0.04153973,7.5e-06,0x00,0x4B
